"POLITICAL_UNIT","NAME","Event_ID","WGMS_ID","EVENT_DATE","ET_SURGE","ET_CALVING","ET_FLOOD","ET_AVALANCHE","ET_TECTONIC","ET_OTHER","EVENT_DESCRIPTION","INVESTIGATOR","SPONSORING_AGENCY","REFERENCE","REMARKS","PUB_IN_FOG"
"CH","ORNY GLACIER D' (NO. 108)",3875,5675,19200624,0,,1,0,0,0,"On June 24, 1920 a GLOF took place in Orny glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","ORNY GLACIER D' (NO. 108)",3146,5675,19200624,0,0,1,0,0,0,"Ausbruch einer Wassertasche. Mehrere Ausbrüche von intraglazialen Wassermassen ereigneten sich im Sommer 1920, neben dem 24. Juni auch am 30. Juni und am 4. Juli. Offenbar bestanden zwei Ausbruchsstellen an der Front. Beim ersten Ausbruch wurde wahrscheinlich ein Teil der Gletscherfront mitgerissen. Die Wasserausbrüche erfolgten stossweise, ungefähr 6 in einer halben Stunde.",,,"Variations 1920, p. 157f., Variations 1926, p. 179, Variations 1928, p. 194, Heim 1885, p. 69","http://www.glacierhazards.ch",
"CH","ORNY GLACIER D' (NO. 108)",3147,5675,19200630,0,0,1,0,0,0,"Ausbruch einer Wassertasche. Mehrere Ausbrüche von intraglazialen Wassermassen ereigneten sich im Sommer 1920, neben dem 24. Juni auch am 30. Juni und am 4. Juli. Offenbar bestanden zwei Ausbruchsstellen an der Front. Beim ersten Ausbruch wurde wahrscheinlich ein Teil der Gletscherfront mitgerissen. Die Wasserausbrüche erfolgten stossweise, ungefähr 6 in einer halben Stunde.",,,"Raymond and others (2003) based on Mercanton 1921 (p. 157-158) ","http://glaciology.ethz.ch/inventar/download/orny.pdf",
"CH","ORNY GLACIER D' (NO. 108)",3148,5675,19200704,0,0,1,0,0,0,"Ausbruch einer Wassertasche. Mehrere Ausbrüche von intraglazialen Wassermassen ereigneten sich im Sommer 1920, neben dem 24. Juni auch am 30. Juni und am 4. Juli. Offenbar bestanden zwei Ausbruchsstellen an der Front. Beim ersten Ausbruch wurde wahrscheinlich ein Teil der Gletscherfront mitgerissen. Die Wasserausbrüche erfolgten stossweise, ungefähr 6 in einer halben Stunde.",,,"Raymond and others (2003) based on Mercanton 1921 (p. 157-158) ","http://glaciology.ethz.ch/inventar/download/orny.pdf",
"CH","ORNY GLACIER D' (NO. 108)",3876,5675,19280803,0,,1,0,0,0,"On August 3, 1928 a GLOF took place in Orny glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","ORNY GLACIER D' (NO. 108)",3318,5675,19280803,0,0,1,0,0,0,"Im 5-Minutenintervall ereignete sich wa¨hrend etwa einer Stunde ein wellenfo¨rmiges Hochwasser. Nach diesem Ereignis war die Gletscheroberfla¨che eingesunken und ein kleiner Gletscherrandsee auf der orographisch linken Seite verschwunden.",,,"Raymond and others (2003) based on Mercanton 1929","http://glaciology.ethz.ch/inventar/download/orny.pdf",
"CH","OTEMMA",3877,370,18940628,0,,1,0,0,0,"On June 28, 1894 a GLOF took place in Otemma glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","OTEMMA",194,370,18940628,0,0,1,0,0,0,"Lake outburst on June 28, 1894. The ice-dammed lake had a volume of 1 million m3. The flood washed away 17 bridges, some road sections and agricultural land.",,,"www.glacierhazards.ch http://glaciology.ethz.ch/inventar/download/otemma.pdf",,
"CH","OTEMMA",3878,370,18949999,0,,1,0,0,0,"In 1894, a GLOF took place in Otemma glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","OTEMMA",3879,370,18950618,0,,1,0,0,0,"On June 18, 1895 a GLOF took place in Otemma glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","OTEMMA",3319,370,18950618,0,0,1,0,0,0,"Seeausbruch am damaligen Zusammenfluss des Glacier de Cre^te Se`che und des Glacier d’Otemma mit einem Ausbruchvolumen von 500'000 m3",,,"Raymond and others (2003) based on Marie´tan 1927, Mercanton 1928","http://glaciology.ethz.ch/inventar/download/otemma.pdf",
"CH","OTEMMA",3880,370,18960625,0,,1,0,0,0,"On June 25, 1896 a GLOF took place in Otemma glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","OTEMMA",3320,370,18960625,0,0,1,0,0,0,"Seeausbruch am damaligen Zusammenfluss des Glacier de Cre^te Se`che und des Glacier d’Otemma. Dieses Ereignis blieb ohne Schadenfolgen.",,,"Raymond and others (2003) based on Marie´tan 1927","http://glaciology.ethz.ch/inventar/download/otemma.pdf",
"CH","OTEMMA",3881,370,18980717,0,,1,0,0,0,"On July 17, 1898 a GLOF took place in Otemma glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","OTEMMA",189,370,18980717,0,0,1,0,0,0,"Outburst of a temporary lake on July 17, 1898. The outburst volume was estimated at 1 million m3 of water. 12 bridges were destroyed. The amount of the damage was CHF 110,000 (not converted to current value). ",,,"www.glacierhazards.ch",,
"CH","OTEMMA",3882,370,18989999,0,,1,0,0,0,"In 1898, a GLOF took part in Otemma glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","OTEMMA",3321,370,18990608,0,0,1,0,0,0,"Seeausbruch am damaligen Zusammenfluss des Glacier de Cre^te Se`che und des Glacier d’Otemma. Dieses Ereignis blieb ohne Schadenfolgen.",,,"Raymond and others (2003) based on Forel et al. 1900","http://glaciology.ethz.ch/inventar/download/otemma.pdf",
"CH","OTEMMA",3149,370,19260799,0,0,0,0,0,1,"Drohender Ausbruch eines Gletschersees. Wie bereits in früheren Jahren bildete sich der See am Zusammenfluss des Glacier d'Otemma und des Glacier de Crête-Sèche. Die Arbeiten für einen künstlichen Abfluss begannen am 7. Juli 1926. Am 13. Juli erreichte der Seespiegel das Niveau des Abflusses und legte dieses danach selbsttätig tiefer. Die Absenkung des Seespiegels verlief unregelmässig, von einigen Dezimetern bis mehr als 1.25m proTag. Am 3. August zwischen 12 und 13.30 Uhr mass die Seespiegelabsenkung bereits 19m, die restlichen 6m flossen unterirdisch ab, ohne Schaden anzurichten. Dabei entstand ein irregulärer Tunnel von 1m Höhe und 2-3m Breite. Durch den Gletscherrückzug entschärfte sich in Zukunft die Gefahr der Seebildung und -ausbrüche. Wirkungsvolle Massnahmen zur Absenkung des Seespiegels wurden in Angriff genommen. Zusätzlich wurde eine Alarmkette eingerichtet mit einer Alarmierungsgeschwindigkeit von 1km/min, was ungefähr der fünffachen Geschwindigkeit der potentiellen Flutwelle entsprach.",,,"Variations 1926, p. 214ff., Mariétan 1927","http://www.glacierhazards.ch",
"CH","OTEMMA",3883,370,19269999,0,,1,0,0,0,"In 1926, a GLOF took place in Otemma glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","P. ROTONDO W GHIACCIAIO DEL",3159,5378,19870824,0,0,1,0,0,0,"Murgang aus dem Vorfeld des Rotondogletschers (Gerental, VS) im Zusammenhang mit den 1987er Unwettern. Der Murgang erfolgte um Mitternacht auf einer Anrisshöhe von 2480 m mit vier unabhängigen Anrissen. Es handelt sich dabei um einen glazifluvialen Schutthang (Moränenhalde) unterhalb der Karschwelle des Rotondogletschers mit subrezenter Wallmoräne mit einer gegen unten zunehmenden Mächtigleit (einige bis mehrere 10 m). Die Fläche oberhalb des Anrisses wird mit 90 ha angegeben, wovon 50 ha Eis und Schnee. Die Hangneigung des Anrissgebietes beträgt 53 % (28°), das Pauschalgefälle 35 % (19°) im Fall bis 2220 m oder 21 % (12°) im Fall bis 2130 m Auslauf. Die Niederschlagssumme war wie bei den anderen Murgängen im Gerental um 180 mm plus 30-35 mm aus der Schmelze. Total wurden 38'000 m3 erodiert und 33'000 m3 akkumuliert. Der Murgang floss über 0.7 km im Vorfluter weiter bei nur geringem Gefälle (12 %, resp. 7°). Schäden durch Überführungen in Oberwald. Es ist jedoch schwer festzustellen, welche Schäden durch diesen Murgang welche durch jene aus dem übrigen Gerental (ungefähr zeitgleiche Murgänge, Saasgletscher, Chüebodengletscher, Sidelengetscher) verursacht wurden.",,,"VAW Murgänge 1987, 1992, p. 455ff.","http://www.glacierhazards.ch",
"CH","PESCIORA GHIACCIAIO DI",3150,5745,19870824,0,0,1,0,0,0,"Murgang aus dem Vorfeld des Gh. di Pesciora (Pizzo Rotondo) im Zusammenhang mit den 1987er Unwettern. Das Anrissgebiet liegt auf 2800 m (Permafrost wahrscheinlich), wobei allerdings mehrere Anrisse verzeichnet wurden. Es handelt sich um rezente bis subrezente Moränenhalden (Mächtigkeit bis 10 m) mit Endmoränen sowie glazigenen Schlammströmen. Die 1850er Moränen befinden sich im Bereich von 2500 m. Das Anrissgebiet ist um 70 % (35°) geneigt, die Fläche oberhalb des Anrisses beträgt ca. 30 ha, wovon 20 ha Schnee. Mindestens 9 einzelne, unabhängige Anrissstellen in subrezenten Endmoränen mit vielen alten Murgangerosionsformen sind zu finden. Total wurden 30'000 m3 Material erodiert und 5'000 m3 akkumuliert, es fand keine Ablagerung auf dem Kegel sondern vollständig im Ticino statt (30'000-40'000 m3, Wegführung und Störung der Ablagerungen auf dem Kegel durch den Ticino), es bleibt aber noch ein grosses Geschiebepotential vorhanden. Für das kleine umgesetzte Volumen war der Maximalabfluss trotz konservativer Schätzung erstaunlich hoch. Die Niederschlagssumme kann mit 250 mm (plus 20-25 mm Schmelze) angegeben werden. Das Pauschalgefälle betrug 36 % (20°) (Ablagerungen bis 1410 m, Kegelhals 1550 m). Die perennierenden Schneeflecken haben wahrscheinlich zu einer stetigen Durchfeuchung des Lockermaterials geführt. Die Nufenenstrasse im Val Bedretto inkl. einer Brücke wurden duch die Schutt",,,"VAW Murgänge 1987, 1992, p. 526ff.","http://www.glacierhazards.ch",
"CH","PIERREDAR",3322,452,19309999,0,0,1,1,0,0,"Es sollen sich eine Eislawine und ein Hochwasser ereignet haben.",,,"Raymond and others (2003) based on information by R. Mange (De´partement des travaux publics) to VAW (17.07.1968)","http://glaciology.ethz.ch/inventar/download/pierredar.pdf",
"CH","PIERREDAR",3151,452,19869999,0,0,0,0,0,1,"Gefahr eines grösseren Eisabsturzes. Überfliegungen fanden statt am 7. Juni und 22. Oktober.",,,"Variations 1968, p. 6, Variations 1969","http://www.glacierhazards.ch",
"CH","PLAINE MORTE, GLACIER DE LA ",3407,4630,20110711,0,0,1,0,0,0,"Sudden drainage of Lac de Faverges (approx. 1 million m3 of water) and Strubelsee (approx. 0.2 million m3 water). No damage occurred.",,,"Glaciological Report No. 135/136 based on Hählen 2013","http://www.glamos.ch",
"CH","PLAINE MORTE, GLACIER DE LA ",3408,4630,20120716,0,0,1,0,0,0,"Sudden drainage of Lac de Faverges, approx. same water volume as in 2011. No damage occurred.",,,"Glaciological Report No. 135/136 based on Hählen 2012","http://www.glamos.ch",
"CH","PLAINE MORTE, GLACIER DE LA ",3409,4630,20130802,0,0,1,0,0,0,"Sudden drainage of Lac de Faverges (approx. 1.3 million m3 of water). The retention basin for debris filled up completely in the valley.",,,"Glaciological Report No. 135/136 based on Ereigniskataster des Kantons Bern (Department of Natural Hazards)","http://www.glamos.ch",
"CH","PLAINE MORTE, GLACIER DE LA ",3410,4630,20140807,0,0,1,0,0,0,"Sudden drainage of Lac de Faverges (approx. 1.5 million m3 of water), again the retention basin filled up completely.",,,"Glaciological Report No. 135/136 based on Ereigniskataster des Kantons Bern (Department of Natural Hazards)","http://www.glamos.ch",
"CH","PLAINE MORTE, GLACIER DE LA ",3411,4630,20150801,0,0,1,0,0,0,"Sudden drainage of Lac de Faverges (approx. 1.8 million m3 water), no damage occurred.",,,"Glaciological Report No. 135/136 based on Ereigniskataster des Kantons Bern (Department of Natural Hazards)","http://www.glamos.ch",
"CH","PLAN NEVE",3323,5698,14769999,0,0,1,0,0,0,"Sa¨mtliche U¨berflutungen des Gebirgsbaches St. Barthe´lemy ko¨nnten auf einen Teilabbruch der Gletscherzunge vom Glacier de Plan-Ne´ve´ zuru¨ckgefu¨hrt werden.",,,"Raymond and others (2003) based on Forel 1892, Marie´tan 1927, Tufnell 1984","http://glaciology.ethz.ch/inventar/download/plan.pdf",
"CH","PLAN NEVE",3884,5698,15609999,0,,1,0,0,0,"In 1560, a GLOF took place in Plan Neve glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","PLAN NEVE",3324,5698,15609999,0,0,1,0,0,0,"Sa¨mtliche U¨berflutungen des Gebirgsbaches St. Barthe´lemy ko¨nnten auf einen Teilabbruch der Gletscherzunge vom Glacier de Plan-Ne´ve´ zuru¨ckgefu¨hrt werden.",,,"Raymond and others (2003) based on Forel 1892, Marie´tan 1927, Tufnell 1984","http://glaciology.ethz.ch/inventar/download/plan.pdf",
"CH","PLAN NEVE",3885,5698,16359999,0,,1,0,0,0,"In 1635, a GLOF took place in Plan Neve glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","PLAN NEVE",3325,5698,16359999,0,0,1,0,0,0,"Sa¨mtliche U¨berflutungen des Gebirgsbaches St. Barthe´lemy ko¨nnten auf einen Teilabbruch der Gletscherzunge vom Glacier de Plan-Ne´ve´ zuru¨ckgefu¨hrt werden.",,,"Raymond and others (2003) based on Forel 1892, Marie´tan 1927, Tufnell 1984","http://glaciology.ethz.ch/inventar/download/plan.pdf",
"CH","PLAN NEVE",3886,5698,16369999,0,,1,0,0,0,"In 1636, a GLOF took place in Plan Neve glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","PLAN NEVE",3326,5698,16369999,0,0,1,0,0,0,"Sa¨mtliche U¨berflutungen des Gebirgsbaches St. Barthe´lemy ko¨nnten auf einen Teilabbruch der Gletscherzunge vom Glacier de Plan-Ne´ve´ zuru¨ckgefu¨hrt werden.",,,"Raymond and others (2003) based on Forel 1892, Marie´tan 1927, Tufnell 1984","http://glaciology.ethz.ch/inventar/download/plan.pdf",
"CH","PLAN NEVE",3887,5698,18350826,0,,1,0,0,0,"On August 26, 1835 a GLOF took place in Plan Neve glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","PLAN NEVE",3327,5698,18350826,0,0,1,0,0,0,"Felsstu¨rze von der Cime de L’Est auf die Gletscherzunge vom Glacier de Plan Ne´ve´ und in die Gletscherschlucht stauten den Gletscherbach St. Barthe´lemy. Der Ausbruch des gestauten Wassers richtete betra¨chtliche Flurscha¨den an.",,,"Raymond and others (2003) based on Montandon 1926, Marie´tan 1927","http://glaciology.ethz.ch/inventar/download/plan.pdf",
"CH","PORCHABELLA",3422,410,20140299,0,0,0,0,0,1,"In February 2014, a rock pillar with a volume of around 150 000 m3 collapsed at Piz Kesch in the Eastern Swiss Alps. A reconstruction of the conditions prior to the event and of the event itself is presented on the basis of different sources of data. Themethods applied include photogrammetry, terrestrial laser scanning, structural geological analysis, examination of meteorologicaldata, carbon-14 (14C) dating of organic material in permafrost ice from a tension crack and numerical modelling of likely modesof failure. Despite a complete lack of in situ measurements in the rock wall prior to the event and of direct observations duringthe event, the available data allow the determination of the approximate timing of the event as well as the structural predisposition,the probable mode of failure and the timescale of several millennia involved in the triggering of the failure of the rock pillar. The interdisciplinary analysis of this event contributes towards understanding the complex interaction of processes involved in large rockslope failures currently occurring in warming mountain permafrost regions.",,,"Phillips et al. 2017: Rock slope failure in a recently deglaciated permafrost rock wall at Piz Kesch (Eastern Swiss Alps), February 2014. Earth Surface Processes and Landforms 42. http://onlinelibrary.wiley.com/doi/10.1002/esp.3992/epdf",,
"CH","PUNTEGLIAS",3152,415,18939999,0,0,1,0,0,0,"Beim Punteglias-Gletscher sind vor 1893 jährlich ein 24 Stunden Hochwasser bekannt.",,,"Variations 1894","http://www.glacierhazards.ch",
"CH","PUNTEGLIAS",3888,415,19749999,0,,1,0,0,0,"In 1974, a GLOF took place in Punteglias glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","PUNTEGLIAS",3153,415,19749999,0,0,1,0,0,0,"Flutwellen. Regelmässige Flutwellen aus dem Gebiet des Gletschers (Tödi Gebiet) in der wärmsten Jahreszeit werden erwähnt, allerdings ohne weiteren Angaben.",,,"Wilhelm 1974","http://www.glacierhazards.ch",
"CH","RHONE",3889,473,19000721,0,,1,0,0,0,"On July 21, 1900 a GLOF took place in Rhone glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","RHONE",3157,473,19000721,0,0,1,0,0,0,"Hochwasser im Gletscherbach. Am 21. Juli erfolgte eine spontane Öffnung eines Fensters am rechten Rand des Eisabbruches. Dieser Bruch des Eises war möglicherweise Folge eines Einsturzes des Bachgewölbes und begleitet von Veränderungen im Lauf des Gletscherbachs. Dieser versiegte zuerst fast ganz, danach erfolgte ein Überschwemmungshochwasser mit Ablagerung von Schutt und Eisblöcken. Während 15 Tagen blieb der Bach im Fenster sichtbar, Anfang August veränderte der Bach seinen Lauf und die Felsen im Fenster fielen trocken.",,,"Forel, Lugeon, Muret 1900, p. 16f., Mercanton 1918, p. 207, 219, Variations 1926, p. 191f., Variations 1927, p. 233, Variations 1934, p. 5, Variations 1941, p. 4","http://www.glacierhazards.ch",
"CH","RHONE",3154,473,19000825,0,0,0,1,0,0,"1979 wurde unter dem Druck des vorrückenden Gletschers eine Beton-Abstellhütte zerstört. Zum besseren Schutz vor Gletscherhochwassern und Eisabstürzen wurden Warntafeln angebracht.",,,"Forel, Lugeon, Muret 1900, p. 16f., Mercanton 1918, p. 207, 219, Variations 1926, p. 191f., Variations 1927, p. 233, Variations 1934, p. 5, Variations 1941, p. 4","http://www.glacierhazards.ch",
"CH","RHONE",3330,473,19180899,0,0,0,1,0,0,"Ende August, Am Tor des vorstossenden Gletschers werden sta¨ndig Einstu¨rze beobachtet. Dabei verlor eine unvorsichtige Spazierga¨ngerin das Leben und eine andere erlitt schwere Verletzungen.",,,"Raymond and others (2003) based on Mercanton 1919","http://glaciology.ethz.ch/inventar/download/rhone.pdf",
"CH","RHONE",3890,473,19189999,0,,1,0,0,0,"In 1918, a GLOF took place in Rhone glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","RHONE",3156,473,19259999,0,0,0,0,0,1,"1925 bildeten sich zwei Fenster im Eisabbruch und man befürchtete wie 1900 einen Eisabsturz (die Geschwindigkeit des Eises betrug dabei ca. 1m/Tag).",,,"Forel, Lugeon, Muret 1900, p. 16f., Mercanton 1918, p. 207, 219, Variations 1926, p. 191f., Variations 1927, p. 233, Variations 1934, p. 5, Variations 1941, p. 4","http://www.glacierhazards.ch",
"CH","RHONE",3331,473,19260906,0,0,1,0,0,0,"Der See beim Zusammenfluss am Fuss der Scheidflu¨e war am 6. September 1926 leer. Dieses Ereignis hinterliess keine Scha¨den.",,,"Raymond and others (2003) based on Mercanton 1927","http://glaciology.ethz.ch/inventar/download/rhone.pdf",
"CH","RHONE",3891,473,19269999,0,,1,0,0,0,"In 1926, a GLOF took place in Rhone glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","RHONE",3332,473,19270813,0,0,1,0,0,0,"Der See beim Zusammenfluss am Fuss der Scheidflu¨e lief erneut ohne Schadenfolge aus.",,,"Raymond and others (2003) based on Mercanton 1928","http://glaciology.ethz.ch/inventar/download/rhone.pdf",
"CH","RHONE",3892,473,19279999,0,,1,0,0,0,"In 1927, a GLOF took place in Rhone glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","RHONE",3893,473,19340717,0,,1,0,0,0,"On July 17, 1934 a GLOF took place in Rhone glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","RHONE",3333,473,19340717,0,0,1,0,0,0,"Das Zungenende befand sich im Bereich der Steilstufe. Die erho¨hte Eis- sturzaktivita¨t an der Gletscherfront staute den Gletscherbach tempora¨r. Am 17. Juli 1934 brach der Eisdamm, was zu einer Schwallwelle fu¨hrte. Dieses Ereignis forderte zwei Menschenleben und eine Verletzte.",,,"Raymond and others (2003) based on Mercanton 1935","http://glaciology.ethz.ch/inventar/download/rhone.pdf",
"CH","RHONE",100,473,19410723,0,0,0,1,0,0,"A large ice avalanche at Rhone Glacier occurred on July 23, 1941. The avalanche had its origin in a steep slope and hit a school class. 6 kids died and 6 were injured.",,,"http://glaciology.ethz.ch/glacier-hazards/download/rhone.pdf",,
"CH","RHONE",3894,473,19470809,0,,1,0,0,0,"On August 9, 1947 a GLOF took place in Rhone glacier.","Jonathan L. Carrivick and Fiona S. Tweed","School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",,
"CH","RHONE",3334,473,19470809,0,0,1,0,0,0,"Eistru¨mmer stauten den Gletscherbach. Beim Bruch des Eisdamms entstand eine Schwallwelle. Dank rechtzeitiger telefonischer Warnung vom Hotel Belve´de`re nach Gletsch forderte dieses Ereignis keine Opfer.",,,"Raymond and others (2003) based on Mercanton 1948","http://glaciology.ethz.ch/inventar/download/rhone.pdf",
"CH","RHONE",3155,473,19799999,0,0,0,0,0,1,"Am 25. August um 8 Uhr abends ereignete sich ein Eisabbruch zwischen dem Fenster und dem rechten Gletscherrand mir einem Volumen von 25'000 bis 30'000m3 und Eisblöcken von bis zu 20m3, die sich auf der Ebene von Gletsch ablagerten.",,,"Forel, Lugeon, Muret 1900, p. 16f., Mercanton 1918, p. 207, 219, Variations 1926, p. 191f., Variations 1927, p. 233, Variations 1934, p. 5, Variations 1941, p. 4","http://www.glacierhazards.ch",
